iteration,system,target_emotion,control_params,judged_V,judged_A,judged_D,judge_family,judge_confidence,distance_to_target,accepted
1,indextts2,sadness,"emo_vector=[0,0,0.8,0,0,0,0,0];spk=ravdess_neutral_A01",-0.06,0.41,0.05,joy,1.0,0.251,0
2,indextts2,neutral,"emo_vector=[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0];spk=03-01-01-01-01-01-01.wav",-0.022,0.474,0.225,neutral,1.0,0.197,1
3,indextts2,sadness,"emo_vector=[0.0, 0.0, 0.4, 0.0, 0.0, 0.0, 0.0, 0.0];spk=03-01-01-01-01-01-01.wav",-0.109,0.382,0.082,neutral,1.0,0.229,0
4,indextts2,sadness,"emo_vector=[0.0, 0.0, 1.2, 0.0, 0.0, 0.0, 0.0, 0.0];spk=03-01-01-01-01-01-01.wav",0.044,0.4,0.073,joy,0.8,0.354,0
5,indextts2,sadness,"emo_vector=[0.0, 0.0, 0.0, 0.0, 0.0, 0.8, 0.0, 0.0];spk=03-01-01-01-01-01-01.wav",-0.163,0.303,0.01,neutral,1.0,0.166,0
6,indextts2,sadness,"emo_vector=[0.0, 0.0, 0.6, 0.0, 0.0, 0.6, 0.0, 0.0];spk=03-01-01-01-01-01-01.wav",-0.13,0.296,-0.072,neutral,1.0,0.178,0
7,indextts2,joy,"emo_vector=[0.8, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0];spk=03-01-01-01-01-01-01.wav",-0.202,0.775,0.594,surprise,0.8,0.673,0
8,indextts2,joy,"emo_vector=[1.2, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0];spk=03-01-01-01-01-01-01.wav",-0.396,0.836,0.669,surprise,0.8,0.883,0
9,indextts2,anger,"emo_vector=[0.0, 0.8, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0];spk=03-01-01-01-01-01-01.wav",-0.381,0.79,0.615,anger,1.0,0.227,1
10,indextts2,anger,"emo_vector=[0.0, 1.2, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0];spk=03-01-01-01-01-01-01.wav",-0.547,0.883,0.768,anger,1.0,0.422,1
11,indextts2,neutral,"emo_vector=[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.8];spk=03-01-01-01-01-01-01.wav",-0.114,0.346,0.08,neutral,1.0,0.137,1
12,indextts2,sadness,"emo_vector=[0.0, 0.0, 0.8, 0.0, 0.0, 0.0, 0.0, 0.0];spk=03-01-04-02-01-01-01.wav",-0.045,0.4,0.06,fear,1.0,0.269,0
13,indextts2,anger,"emo_vector=[0.0, 0.8, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0];spk=03-01-05-02-01-01-01.wav",-0.509,0.897,0.796,anger,1.0,0.443,1
14,indextts2-p43,sadness,"emo_vector=[0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0];spk=ravdess_neutral_A01",-0.193,0.295,-0.026,neutral,1.0,0.136,0
15,indextts2-p43,sadness,"emo_vector=[0.0, 0.0, 0.0, 0.0, 0.0, 1.2, 0.0, 0.0];spk=ravdess_neutral_A01",-0.199,0.283,-0.021,neutral,1.0,0.143,0
16,indextts2-p43,sadness,"emo_vector=[0.0, 0.0, 0.0, 0.0, 0.0, 0.8, 0.0, 0.3];spk=ravdess_neutral_A01",-0.211,0.275,-0.057,neutral,1.0,0.135,0
17,indextts2-p43,sadness,"emo_vector=[0.0, 0.0, 0.4, 0.0, 0.0, 0.7, 0.0, 0.0];spk=ravdess_neutral_A01",-0.193,0.273,-0.054,neutral,1.0,0.147,0
18,indextts2-p43,joy,"emo_vector=[0.4, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0];spk=ravdess_neutral_A01",-0.027,0.555,0.324,fear,1.0,0.354,0
